"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"c:\Users\mattd\Documents\Programming\Java\MattLang\Assembler\README.md", "Markdown", 0, 10, 0, 9, 19
"c:\Users\mattd\Documents\Programming\Java\MattLang\Assembler\bin\Assembler.class", "Java", 121, 0, 0, 1, 122
"c:\Users\mattd\Documents\Programming\Java\MattLang\Assembler\bin\Instruction.class", "Java", 20, 0, 0, 0, 20
"c:\Users\mattd\Documents\Programming\Java\MattLang\Assembler\bin\Label.class", "Java", 7, 0, 0, 0, 7
"c:\Users\mattd\Documents\Programming\Java\MattLang\Assembler\src\Assembler.java", "Java", 134, 0, 49, 29, 212
"c:\Users\mattd\Documents\Programming\Java\MattLang\Assembler\src\Instruction.java", "Java", 43, 0, 0, 11, 54
"c:\Users\mattd\Documents\Programming\Java\MattLang\Assembler\src\Label.java", "Java", 14, 0, 0, 6, 20
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\README.md", "Markdown", 0, 10, 0, 9, 19
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\emulator\Emulator.java", "Java", 98, 0, 11, 32, 141
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\exceptions\InstructionNotFoundException.java", "Java", 6, 0, 0, 4, 10
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\exceptions\InvalidFlagException.java", "Java", 6, 0, 0, 4, 10
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\exceptions\InvalidLabelException.java", "Java", 6, 0, 0, 4, 10
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\exceptions\MemoryOutOfBoundsException.java", "Java", 6, 0, 0, 4, 10
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\exceptions\RegisterOutOfBoundsException.java", "Java", 6, 0, 0, 4, 10
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\Instruction.java", "Java", 14, 0, 0, 5, 19
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\InstructionManager.java", "Java", 92, 0, 0, 6, 98
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\branch\InstructionBranchAlways.java", "Java", 16, 0, 1, 7, 24
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\branch\InstructionBranchEqual.java", "Java", 17, 0, 2, 8, 27
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\branch\InstructionBranchGreaterThan.java", "Java", 17, 0, 2, 8, 27
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\branch\InstructionBranchLessThan.java", "Java", 17, 0, 2, 8, 27
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\compare\InstructionCompareRegister.java", "Java", 22, 0, 1, 9, 32
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\compare\InstructionCompareValue.java", "Java", 22, 0, 1, 9, 32
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\load\InstructionLoadMemory.java", "Java", 16, 0, 0, 6, 22
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\load\InstructionLoadRegister.java", "Java", 13, 0, 0, 6, 19
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\load\InstructionLoadValue.java", "Java", 13, 0, 0, 6, 19
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\math\InstructionAddRegister.java", "Java", 20, 0, 1, 9, 30
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\math\InstructionAddValue.java", "Java", 20, 0, 1, 9, 30
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\math\InstructionSubtractRegister.java", "Java", 20, 0, 1, 9, 30
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\math\InstructionSubtractValue.java", "Java", 20, 0, 1, 9, 30
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\misc\InstructionHalt.java", "Java", 12, 0, 1, 6, 19
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\misc\InstructionNoOp.java", "Java", 12, 0, 1, 6, 19
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\store\InstructionStoreMemory.java", "Java", 16, 0, 0, 6, 22
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\store\InstructionStoreMemoryHigh.java", "Java", 16, 0, 0, 6, 22
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\store\InstructionStoreMemoryLow.java", "Java", 16, 0, 0, 6, 22
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\store\InstructionStoreRegister.java", "Java", 17, 0, 0, 6, 23
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\store\InstructionStoreRegisterHigh.java", "Java", 17, 0, 0, 6, 23
"c:\Users\mattd\Documents\Programming\Java\MattLang\Emulator\src\instructions\store\InstructionStoreRegisterLow.java", "Java", 17, 0, 0, 6, 23
"Total", "-", 929, 20, 75, 279, 1303